raw,translation,description
纸甲术,Paper Armor Technique,
纸神,Paper God,
纸符,Paper Talisman,
纸舟老人,Paper Boat Elder,#masculine
纸钱通冥兵,Paper Money Spirit Envoys,
统领印,Commander's Seal,
统领大人,Commander,
缩地,Earthshrinking,
罗思,Luo Si,#masculine
罗思大人,Lord Luo Si,#masculine
罗思大将,General Luo Si,
罗思阵斩寒烟上人,Luo Si's formation-assisted execution of Elder Hanyan,
罗殇,Luo Shang,#masculine
罪孽,,
老灵厨,Old Spirit Chef,
肉身,Physical Body,
胎息灵舸,Embryonic Breath Spirit Boat,
腐尸侯,Corpse Lord,
腐毒瘴,Corrosive Toxin Miasma,
自然神,Nature God,
自然神体,Natural God Body,
花生鬼将,Peanut Ghost General,
苍天,Heaven,
苍天气数,Heavenly Mandate of the Azure Sky,
苍铁汉甲,Black Iron Han Armor,
苏灵扣,Su Lingkou,#feminine
草头道场,Grasshead Dao Field,
荡口,Dangkou,
落难滩,Stranded Beach,
蒙夜虎,Meng Yehu,#masculine
藏书楼,Library Pavilion,
藏阳别府,Hidden Yang Manor,
虚境,Void Realm,
虚空碎片,Void Shard,
蚀骨滩,Bone-Corroding Beach,
蛊修,Gu Cultivator,
血祭,Blood Sacrifice,
袁大胜,Yuan Dasheng,#masculine
裂空长枪,Void-Piercing Spear,
西北霜戟军,Northwest Frost Halberd Army,
覆水,Overturned Water,
诛邪堂,Demon Subjugation Hall,
请神之术,Divine Summoning Art,
请神术,Divine Summoning Art,
谢思潮,Xie Sichao,#masculine
贵人运,Noble Luck,
赤子泪金,Innocent's Tear Gold,
赤明道院,Crimson Dawn Dao Sect,
超等,super-grade,
超级门派,Super Sect,
轻身疾风阵,Light Body Swift Wind Formation,
边军,Border Army,
连铁骨铮,Lian Tiegu,#masculine
迷瘴,Bewildering Mist,
通灵宝镜,Spirit Communication Mirror,
通灵镜,Spirit Communication Mirror,
通灵镜法术符箓,Spirit Communication Mirror Spell Talismans,
道伤,Dao Injury,
道侣,Dao Companion,
道场,Dao Field,
道家,Daoist School,
道德,Virtue,
道心,Dao Heart,
道途,Dao Path,
遗宝,Legacy Treasure,
遗念石,Forgotten Thought Stone,
邪派,Heretical Sect,
郑大人,Lord Zheng,#masculine
郑守墨,Zheng Shoumo,#masculine
郑老,Old Zheng,#masculine
重装血猿,Armored Blood Ape,
重装血猿·大胜,Heavy Armored Blood Ape - Dasheng,
金丹鬼将,Golden Core Ghost General,
金巢妖种,Golden Nest Demon Seed,
金燕,Golden Swallow Trident,
金燕叉,Golden Swallow Trident,
金燕机关群,Golden Swallow Automaton Swarm,
金燕裁云,Golden Swallow Tailoring Clouds,
金牌,Golden Token,
金翼,Golden Wings,
金行,Metal Element,
金行法术,Metal Element Spells,
金行肺脏庙,Metal Element Lung Temple,
金阳子,Jin Yangzi,#masculine
钓术,Fishing Technique,
钓术——九渊泄水兜,Fishing Art - Nine Abyss Water-Draining Net,
钓术——垂世钓命,Fishing Art - World-Swaying Life-Fishing,
钓术——垂世钓物!,Fishing Art - World-Piercing Hook!,
钓术——定魄钓命钩,Fishing Art - Soul-Fixing Life-Snatching Hook,
钱通鬼,Money-Communicating Ghost,
铁扇,Iron Fan,
铁骨铮,Tie Guzheng,#masculine
铁骨铮的情报,Tie Gu Zheng's Intelligence,
铁骸公,Duke Ironbone,#masculine
银灰巨球,Silver-Gray Giant Sphere,
锐金之气,Sharp Metal Qi,
镜台通灵诀,Mirror Platform Spirit Communication Manual,
长斧,Long Axe,
长斧鬼将,Long Axe Ghost General,#masculine
长臂蟒绞,Long-Arm Python Constriction,
阡陌灯,Interwoven Field Paths Lantern,
防御法阵,defensive formation,
阳天,Yang Heaven,
阳寿,lifespan,
阳性,Yang Attribute,
阳气,Yang Qi,
阳间,Living Realm,
阳间天数,Heavenly Mandate of the Mortal Realm,
阳间气数,Yang Realm's Destiny,
阳间苍天,Living Realm's Heaven,
阴九烛,Yin Jiuzhu,#masculine
阴兵,Yin Soldiers,
阴兵大军,Underworld Army,
阴兵大营,Underworld Army Barracks,
阴军,Underworld Army,
阴司,Netherworld,
阴天,Nether Heavens,
阴天之力,Netherworld Azure Heaven Power,
阴属法力,Yin-attribute magical power,
阴极阳生,Yin Extremity Generating Yang,
阴毒鬼域,Yin Poison Ghost Domain,
阴毒鬼将,Yin Poison Ghost General,#masculine
阴气,Yin Qi,
阴潮,Yin Tide,
阴潮黑沼湿地,Yin Tide Black Marsh Wetlands,
阴潮黑湿沼地,Ghostly Black Marshlands,
阴火符,Yin Fire Talisman,
阴煞之气,Yin Fiend Qi,
阴间,Underworld,
阴间大军,Netherworld Army,
阴间苍天,Underworld Celestial Heavens,
阴阳一气壶,Yin-Yang One Qi Kettle,
阴阳世界,Yin-Yang World,
阴阳双修,Yin-Yang Dual Cultivation,
阴风,yin wind,
阴鸦鬼瞳烛,Yin Crow Ghost Eye Candle,
阵心,Formation Core,
阵法,Formation,
阵法空间,Formation Space,
阵盘,formation plate,
阿川,A'Chuan,#masculine
陈穗,Chen Sui,#masculine
雪光,Snowlight,
霜狱凝思卫,Frost Hell Contemplation Guard,
青宁,Qing Ning,#masculine
青家,Qing Clan,
青家鬼族,Qing Clan Ghostman Race,
青掩,Qing Yan,#masculine
青掩大人,Lord Qingyan,#masculine
青炽,Qing Chi,#feminine
青炽姑娘,Miss Qing Chi,#feminine
青炽的丹田,Qingchi's Dantian,
青焦,Qing Jiao,
青焦兵种,Qing-Jiao Army,
青焦军,Qing-Jiao Army,
青焦军自强,Green Blaze Army's Self-Reliance,
青焰,Azure Flame,
青焰灼镜,Azure Flame Burning Mirror,
青紫符钱,Azure-Purple Talisman Coins,
青铜战车,Bronze War Chariot,
青青,Qingqing,#feminine
音术,Sound Art,
飞云国,Flying Cloud Kingdom,
飞云大会,Flying Cloud Assembly,
飞枪,Flying Spear,
飞枪鬼将,Flying Spear Ghost General,#masculine
香火神,Incense God,
骨修士,Bone Cultivator,
骨兄,Brother Bone,#masculine
骨刃战旗,Bone Blade Battle Flag,
骨墓道人,Bone Tomb Daoist,#masculine
骸山神,Bone Mountain God,
骸骨,Skeleton,
骸骨军阵,Skeleton Legion,
骸骨战马,Skeletal Warhorses,
骸骨死卒,Skeletal Dead Soldiers,
骸骨鬼马,Skeletal Ghost Horse,
高胜遗书,Gao Sheng's Posthumous Writings,
鬼,Ghost,
鬼人国,Ghost-Human Kingdom,
鬼修,Ghost Cultivator,
鬼夜叉,Ghost Yaksha,
鬼将,Ghost General,
鬼扇,Ghost Fan,
鬼手,Ghost Hand,
鬼族,Ghostmen,
鬼族少女,Ghost Clan Girl,#feminine
鬼族青家,Ghost Clan Qing Family,
鬼术,ghost technique,
鬼母,Ghost Mother,
鬼气,ghostly aura,
鬼潮,Ghost Tide,
鬼火,Ghostfire,
鬼火地府,Ghostfire Prefecture,
鬼火府君,Ghostfire Prefecture Lord,#masculine
鬼火府君阴九烛,Lord Yin Jiuzhu of the Ghostfire Prefecture,#masculine
鬼物,ghostly creature,
鬼狼群,Ghost Wolf Pack,
鬼王,Ghost King,
鬼神,ghosts and deities,
鬼符,Ghost Rune,
鬼花泥,Ghost Flower Mud,
鬼蝠,Ghost Bat,
鬼道金丹,Ghost Path Golden Core,
鬼门关,Gate of the Underworld,
鬼骑,Ghost Cavalry,
鬼骑兵,Ghost Rider Legion,
鬼魂,ghost,
魂修,Soul Cultivator,
魂修四宝,Four Treasures of Soul Cultivation,
魂火,Soulfire,
魂焰,Soulflame,
魂魄,Soul,
魔修,Demonic Cultivator,
魔染血筋功,Demonic Contamination Blood Meridian Art,
魔道,Demonic Path,
魔门,Demonic Sect,
鱼鳞漩涡,Fish Scale Vortex,
鲤鱼化蛟,Carp Transformed into a Dragon,
鳄窟,Crocodile Cave,
黄巾河,Yellow Turban River,
黄泉,Netherworld,
黄泉路引烛,Yellow Springs Pathfinding Candle,
黄脸少年,Yellow-Faced Youth,
黑云战场,Black Cloud Battlefield,
黑云空间,Black Cloud Space,
黑影,Black Shadow,
黑暗料理,Dark Cuisine,
黑暗料理派,Dark Cuisine Sect,
黑暗流派,Dark Stream,
黑水军,Blackwater Army,
黑水山,Blackwater Mountain,
黑水山白纸城,Blackwater Mountain White Paper Immortal City,
黑水阴潮,Blackwater Yin Tide,
黑沼,Black Marsh,
黑血纸马,Black Blood Paper Horses,
龙君,Dragon Lord,
龙气,Dragon Qi,
龙湫隐鳞,Dragon Pool Hidden Scales,
龙湫隐鳞道场,Hidden Scales of the Dragon Pool,
龙骨,Dragon Bone,
龟丞相,Turtle Prime Minister,
